Вопрос
Она любит путешествовать?
Она - творческая личность?
Ей нравятся головоломки?
Она любит проводить время в компании друзей?
Она играет в компьютерные игры?
Ей нравятся настольные игры?
Она романтичная?
Она следит за своим здоровьем?
Она слушает музыку в транспорте?
Ей нравится рисовать?
Она занимается фитнесом?
Она занимается фотографией?
Ей нравится фотографироваться?
Вы живете вместе?
Вы проводите много времени вместе?
У нее много электронных устройств?
Она - гик?
Она часто слушает музыку?
Она пьет чай/кофе?
Она учится в университете?
Она учится в школе?
Она работает?
Она часто ездит в командировки?
Она любит шумные компании?
Ей нравится проводить время дома?
Она любит готовить?
Она занимается спортом?
Она занимается туризмом?
Она любит мечтать?
Она умная?
